id,map_entities_group_id,fixed_id,name,pos_x,pos_y,pos_z,rotating_y,type,entity_id,display,group,display_delay
"1","800001","1","光幕1","2.83","0.382","2.37","271.0","0","890004","0","0","0"
"2","800001","2","光幕1","-1.57","0.382","2.37","271.0","0","890004","0","0","0"
"3","800001","3","光幕2","-0.51","0.382","15.14","271.0","0","890004","0","0","0"
"4","800001","4","光幕2","2.83","0.382","15.1","271.0","0","890004","0","0","0"
"5","800001","5","固定靶子","-0.73","0.884","-7.3","182.0","0","890002","0","0","0"
"6","800001","10","固定靶子","4.92","0.902","-5.6","8.0","0","890002","0","0","0"
"7","800001","11","固定靶子","-0.24","0.902","-4.44","163.0","0","890002","0","0","0"
"8","800001","12","固定靶子2","-2.23","0.917","8.62","170.0","0","890002","0","0","0"
"9","800001","14","固定靶子2","2.57","0.917","12.89","88.0","0","890002","0","0","0"
"10","800001","15","固定靶子2","5.0","0.917","10.63","26.0","0","890002","0","0","0"
"11","800001","16","固定靶子3","-2.23","0.917","41.76","92.0","0","890002","0","0","0"
"12","800001","17","固定靶子3","1.45","0.917","41.76","92.0","0","890002","0","0","0"
"13","800001","18","固定靶子3","4.93","0.917","41.76","92.0","0","890002","0","0","0"
"14","800001","19","固定靶子3","3.48","0.917","39.06","92.0","0","890002","0","0","0"
"15","800001","20","固定靶子3","0.26","0.917","39.06","92.0","0","890002","0","0","0"
"16","800001","21","触发框1","2.29","0.0","-9.03","30.0","0","890001","0","0","0"
"17","800001","22","触发框2","1.11","0.0","7.85","355.0","0","890001","0","0","0"
"18","800001","23","触发框3","1.661","0.0","31.36","360.0","0","890001","0","0","0"
"19","800001","24","范围指示器1","2.61","0.0","-9.49","30.0","0","890006","0","0","0"
"20","800001","25","范围指示器2","1.2","0.0","7.84","30.0","0","890006","0","0","0"
"21","800001","26","范围指示器3","1.65","0.0","31.37","360.0","0","890006","0","0","0"
"22","800001","27","箭头1","5.45","0.0","-14.45","30.0","0","890005","0","0","0"
"23","800001","28","箭头2","1.22","0.0","-2.76","360.0","0","890005","0","0","0"
"24","800001","29","箭头3","1.22","0.0","12.4","360.0","0","890005","0","0","0"
"25","800001","30","出生点","8.42","0.0","-19.61","360.0","0","890010","0","0","0"
"26","800001","31","手雷范围指示器","1.14","0.0","40.43","360.0","0","890007","0","0","0"
"27","800001","13","固定靶子2","-0.82","0.917","11.88","133.0","0","890002","0","0","0"
"28","810000","0","1","25.2","0.0","19.86","360.0","0","850000","1","0","0"
"29","810000","0","","14.859","0.027","23.518","360.0","0","880012","1","0","0"
"30","810000","0","1","3.17","2.385","-5.89","360.0","0","850003","1","0","0"
"31","810000","0","","-27.946","0.0","14.422","89.0","0","881001","1","0","0"
"32","810000","0","1","-30.04","0.0","-43.89","360.0","0","850000","1","0","0"
"33","810000","0","","-15.489","0.0","-0.02","271.0","0","881002","1","0","0"
"34","810000","0","","15.809","0.057","18.428","92.0","0","850027","1","0","0"
"35","810000","0","","33.9","1.026","-23.17","88.0","0","850027","1","0","0"
"36","810000","0","","-49.172","1.01","18.495","271.0","0","850028","1","0","0"
"37","810000","0","","-26.296","0.055","-10.66","88.0","0","850027","1","0","0"
